name,url,state,revenue,growth_%,industry,workers,founded,yrs_on_list,city
Ben Kinney Real Estate Team,benkinney.com,Washington,2000000.0,337,Software,40,2008,3,Bellingham
Liberty Home Mortgage Corporation,libertyhm.com,Ohio,1400000.0,336,Financial Services,86,2014,1,Independence
KBMax,kbmax.com,Texas,500000.0,336,Software,22,2009,2,Austin
ObservePoint,observepoint.com,Utah,1200000.0,336,Software,100,2007,1,Provo
Thrive,http://thrivenetworks.com,Massachusetts,5600000.0,336,Engineering,247,2000,3,Foxborough
What If Holdings,whatifmediagroup.com,New Jersey,3600000.0,336,Advertising & Marketing,25,2012,3,Fort Lee
GonLED,gonled.com,California,1000000.0,336,Energy,4,2007,5,Costa Mesa
Digital Relativity,digitalrelativity.com,West Virginia,600000.0,335,Advertising & Marketing,19,2010,2,fayetteville
Mavrck,http://mavrck.co,Massachusetts,300000.0,335,Advertising & Marketing,54,2014,1,Boston
Home Perfect Carpet & Tile Cleaning,homeperfectsocal.com,California,300000.0,334,Construction,24,2012,1,Temecula
Field Industries,fieldindustries.com,Texas,200000.0,334,Energy,6,2011,1,Houston
Pure Incubation,pureincubation.com,Massachusetts,4100000.0,334,Advertising & Marketing,1382,2007,6,Topsfield
TouchUpDirect,touchupdirect.com,California,500000.0,333,Consumer Products & Services,16,2012,1,Van Nuys
Right at School,rightatschool.com,Illinois,2500000.0,333,Education,1400,2011,4,Evanston
Sorry Robots,gir.co,California,300000.0,333,Consumer Products & Services,13,2012,1,Novato
Central Point Partners,centralpointpartners.com,Ohio,400000.0,333,IT Management,15,2012,1,Westerville
Ventive,getventive.com,Idaho,400000.0,333,Software,15,2014,2,Boise
Carrot,carrot.com,Oregon,500000.0,333,Software,19,2013,2,Roseburg
Amplio Digital,ampliodigital.com,Colorado,200000.0,333,Advertising & Marketing,20,2014,2,Boulder
Dirt Wurx Excavation,facebook.com/josh.eidson3,Oklahoma,300000.0,333,Construction,15,2008,2,wagoner
Sayva Solutions,sayvasolutions.com,California,1000000.0,332,Business Products & Services,30,2014,2,San Diego
C Squared Social,csquaredsocial.com,California,200000.0,332,Advertising & Marketing,29,2012,1,Carlsbad
U.Group,http://u.group,Virginia,5000000.0,332,IT System Development,250,2010,4,Arlington
RWD Consulting,http://rwdconsultingllc.com,District of Columbia,2400000.0,332,Government Services,200,2004,2,Washington
AGB Investigative Services,agbinvestigative.com,Illinois,2400000.0,332,Business Products & Services,680,2001,2,Chicago
Denken Solutions,denkensolutions.com,California,2500000.0,331,IT Management,250,2010,4,Irvine
Silotech Group,silotechgroup.com,Texas,1800000.0,331,Government Services,170,2008,5,San Antonio
Moonglow Jewelry,moonglow.com,Florida,800000.0,331,Retail,17,2012,2,Miami
Decision Sciences Research Associates,dsra.com,California,1200000.0,331,Advertising & Marketing,123,1982,3,PASADENA
Twelve Consulting Group,twelvecg.com,Minnesota,800000.0,331,IT Management,44,2013,1,Minneapolis
iArch Solutions,iarchsolutions.com,Connecticut,200000.0,331,IT Management,7,2013,1,Monroe
Seawater Seafood Company,seawaterseafoodco.com,Oregon,700000.0,330,Food & Beverage,6,2012,1,NEWPORT
Vert Digital,vertdigital.com,Georgia,800000.0,330,Advertising & Marketing,30,2009,5,Atlanta
CT Assist,ct-assist.com,Virginia,1000000.0,330,Health,70,2013,2,Harrisonburg
Fit Body Boot Camp,fitbodybootcamp.com,California,800000.0,329,Health,43,2011,4,Chino Hills
Nekteck,nekteck.com,California,1000000.0,329,Consumer Products & Services,16,2014,1,ANAHEIM
Expression Networks,http://corp.expr.net,District of Columbia,900000.0,329,Government Services,82,1997,2,Washington D.C.
Modern Message,http://modernmessage.com,Texas,600000.0,328,Software,55,2012,3,Dallas
1-Call Staffing,1-callstaffing.com,Arizona,1000000.0,328,Human Resources,1716,2013,2,Kingman
Pediatric Therapy,thesteppingstonesgroup.com,Colorado,10200000.0,328,Education,1420,2008,4,Lafayette
Crimson Agility,crimsonagility.com,Arizona,400000.0,328,IT System Development,25,2014,1,Mesa
Keystone Funding,keystonefunding.com,Delaware,500000.0,328,Real Estate,36,1996,1,Dover
SlideBelts,slidebelts.com,California,1200000.0,327,Retail,48,2007,4,El Dorado Hills
Credit Service Intl.,creditserviceintl.com,Wisconsin,200000.0,327,Health,25,1962,1,Hudson
The Roman Guy,theromanguy.com,Pennsylvania,600000.0,327,Travel & Hospitality,75,2008,2,Philadelphia
Fyzical,http://fyzical.com,Florida,2000000.0,326,Health,105,2014,2,Sarasota
Green Bay Remodeling,http://greenbayremodeling.com,California,800000.0,326,Construction,20,2012,2,concord
Nebulaworks,nebulaworks.com,California,200000.0,326,Software,14,2014,1,Irvine
Trinity Logistics USA,trinityworld.com,New York,13000000.0,325,Logistics & Transportation,211,2007,4,Valley Stream
PDQ.com Corporation,pdq.com,Utah,1900000.0,325,Software,45,2001,1,Salt Lake City
Bighorn Design Studio,bighorndesign.com,Wyoming,300000.0,324,Consumer Products & Services,46,2015,1,Sheridan
Elevation Solar,elevationsolar.com,Arizona,4000000.0,324,Energy,136,2014,1,Gilbert
Watterson,wattersonefm.com,Illinois,5200000.0,324,Business Products & Services,30,2001,3,Schaumberg
Arch Systems,archsystemsinc.com,Maryland,2100000.0,324,Government Services,75,2006,5,Baltimore
The Social Lights,thesociallights.com,Minnesota,200000.0,324,Advertising & Marketing,25,2011,1,Minneapolis
Doceo Office Solutions,mydoceo.com,Pennsylvania,800000.0,324,Business Products & Services,42,2004,2,York
Signs.com,signs.com,Utah,2000000.0,323,Business Products & Services,45,2012,3,Salt Lake City
Disability Planners,displanner.com,Utah,900000.0,323,Insurance,60,2013,3,Murray
Blue Label Labs,bluelabellabs.com,Washington,500000.0,323,Software,15,2011,3,Redmond
Commercial Services,fessfire.com,North Carolina,1600000.0,322,Construction,123,1978,1,Morrisville
1st Choice Construction Management,1choiceconstruction.com,North Carolina,1400000.0,321,Construction,29,2010,3,Mooresville
Alderson Loop,aldersonloop.com,Maryland,600000.0,321,Business Products & Services,57,2013,2,Sykesville
Legacy Toys,legacytoys.com,Minnesota,200000.0,321,Retail,35,2012,1,Ely
Outsource Consultants,outsource-consultants.com,Minnesota,300000.0,320,Business Products & Services,12,2013,1,Plymouth
MRL Promotions,mrlpromotions.com,Florida,900000.0,320,Advertising & Marketing,16,2003,4,Fort Lauderdale
ARC Risk and Compliance,arcriskandcompliance.com,New Jersey,400000.0,320,Financial Services,22,2009,2,Hamilton
829 Studios,829llc.com,Massachusetts,700000.0,320,Advertising & Marketing,44,2007,2,Boston
DoctorLogic,doctorlogic.com,Texas,600000.0,319,Advertising & Marketing,44,2014,2,Plano
Curlkit,curlkit.com,New Jersey,500000.0,319,Advertising & Marketing,5,2011,1,EWING
STRATEGIC SOLUTION PARTNERS,strategicsolutionpartners.com,Pennsylvania,700000.0,319,Travel & Hospitality,2,2007,3,Drexel Hill
Tellus,4tellus.com,Florida,200000.0,319,Health,45,2014,3,Deerfield Beach
International Ceramic Construction,icc-tileconstruction.com,North Carolina,2700000.0,318,Construction,75,2005,1,Charlotte
Banyan Hills Technologies,banyanhills.com,Georgia,900000.0,318,Software,29,2013,2,Duluth
Peddle,peddle.com,Texas,13100000.0,318,Consumer Products & Services,71,2011,2,Austin
Dibsies Personalization Station,dibsies.com,Ohio,400000.0,318,Retail,15,2013,2,Fairfield
Massie R&D Tax Credits,http://massietaxcredits.com,Georgia,200000.0,317,Business Products & Services,12,2014,1,Alpharetta
Verdia,verdia.com,Texas,800000.0,317,Manufacturing,16,2014,1,Conroe
Cetechs,cetechs.net,Arizona,700000.0,317,Government Services,36,2009,2,Mesa
Investor Grit,wholesalinginc.com,Utah,400000.0,317,Education,13,2014,2,South Jordan
Triple E Equipment,e3equipment.com,Florida,500000.0,317,Retail,15,2013,2,Pompano Beach
Prairie Tickets,prairietickets.com,South Dakota,600000.0,317,Retail,3,2010,1,Sioux Falls
Crystal Clear Digital Marketing,crystalcleardigitalmarketing.com,Florida,800000.0,317,Health,61,2013,2,Orlando
BroadJump,broadjumpllc.com,Texas,800000.0,316,Health,36,2012,1,Dallas
HomeStar Remodeling,homestarremodeling.com,Delaware,700000.0,316,Construction,50,2013,3,Wilmington
LMS (Logistics Made Simple),logisticsms.net,Tennessee,4600000.0,316,Logistics & Transportation,75,2008,2,Chattanooga
jBloom,jbloomdesigns.com,Missouri,900000.0,315,Retail,34,2013,3,Saint Peters
Reltio,reltio.com,California,3800000.0,315,Software,338,2011,3,Redwood Shores
G2S,g2scorp.com,Texas,1400000.0,315,Government Services,84,2009,2,San Antonio
